theme_group,theme,path,indicator_key,name,full_name,unit,n_years,first_year,last_year,n_regions,max_region_level,completeness,score
education_health,Santé,Santé > Activité de la santé de la reproduction et de la planification familiale > Services de santé de la reproduction > Actes Prénatal,22302916,Actes Prénatal,Nombre de consultations prénatales,Nombre,20,2004,2023,31,governorate,1.0,0.6758
education_health,Santé,Santé > Indicateurs généraux de santé > Nombre d'habitants pour un dentiste,27331716,Nombre d'habitants pour un dentiste,Nombre d'habitants pour un dentiste,Nombre,23,2000,2024,1,national,1.0,0.5851
education_health,Education,Education > Publique > Année préparatoire > Nombre des écoles,27330616,Nombre des écoles,Nombre d'écoles enseignant l'année préparatoire dans l'enseignement public,Nombre,23,2001,2023,1,national,1.0,0.5771
education_health,Santé,Santé > Activité de la santé de la reproduction et de la planification familiale > Planification familiale > Taux de prevalence contraceptive,22300916,Taux de prevalence contraceptive,Taux de prevalence contraceptive,Pourcentage,8,1988,2023,1,national,1.0,0.4458
employment_living_conditions,Salaires,Salaires > SMAG,22315316,SMAG,Evolution du Salaire Minimum Agricole Garanti par jour,Dinars/jour,36,1990,2025,1,national,1.0,0.7069
employment_living_conditions,Salaires,Salaires > SMIG > Régime 48h / semaine,22315816,Régime 48h / semaine,Salaire Minimum Interprofessionnel Garanti par heure : régime 48 heures,Dinars/heure,35,1990,2024,1,national,1.0,0.6901
employment_living_conditions,Salaires,Salaires > SMIG > Régime 40h / semaine,22315916,Régime 40h / semaine,Salaire Minimum Interprofessionnel Garanti par heure : régime 40 heures,Dinars/heure,35,1990,2024,1,national,1.0,0.6901
employment_living_conditions,Emploi,Emploi > Statistiques des bureaux d'emploi > Evolution des demandes d'emploi enregistrées > Dont première demande,22315516,Dont première demande,Dont première demande,Nombre,25,2000,2024,1,national,1.0,0.6026
employment_living_conditions,Emploi,Emploi > Statistiques des bureaux d'emploi > Evolution des offres d'emploi reçus > Dont premier emploi,22315716,Dont premier emploi,Dont premier emploi,Nombre,25,2000,2024,1,national,1.0,0.6026
employment_living_conditions,Salaires,Salaires > Taux d'Evolution des Salaires dans le secteur privé non agricole,27966139,Taux d'Evolution des Salaires dans le secteur privé non agricole,Taux d'Evolution des Salaires dans le secteur privé non agricole,%,23,2000,2022,1,national,1.0,0.569
